Time;KBIn;PktIn;KBOut;PktOut
18:07:20;1;3;2;5
18:07:21;2;15;1;12
18:07:22;3;19;3;17
18:07:23;1;3;2;6
18:07:24;2;15;1;12
18:07:25;3;17;3;15
18:07:26;1;3;2;6
18:07:27;2;15;1;12
18:07:28;4;23;4;20
18:07:29;1;3;2;5
18:07:30;2;15;1;12
18:07:31;3;17;3;15
18:07:32;1;3;2;5
18:07:33;2;15;1;11
18:07:34;3;17;3;15
18:07:35;0;1;0;2
18:07:36;3;17;3;16
18:07:37;2;9;2;11
18:07:38;1;10;1;7
18:07:39;3;17;3;15
18:07:40;1;3;2;5
18:07:41;2;15;1;11
18:07:42;3;17;3;15
18:07:43;1;3;2;5
18:07:44;2;16;1;12
18:07:45;3;17;3;15
18:07:46;1;3;2;5
18:07:47;2;16;1;11
18:07:48;3;19;3;16
18:07:49;1;3;2;5
18:07:50;2;15;1;11
18:07:51;3;17;3;16
18:07:52;1;3;2;5
18:07:53;3;18;2;17
18:07:54;3;18;3;16
18:07:55;0;1;0;1
18:07:56;3;17;3;15
18:07:57;1;4;2;6
18:07:58;2;15;1;10
18:07:59;3;17;3;15
18:08:00;1;3;2;5
18:08:01;2;15;1;11
18:08:02;3;17;3;15
18:08:03;1;4;2;6
18:08:04;2;15;1;11
18:08:05;3;17;3;15
18:08:06;1;3;2;5
18:08:07;2;16;1;12
18:08:08;3;17;3;16
18:08:09;1;3;2;6
18:08:10;2;15;1;11
18:08:11;3;17;3;15
18:08:12;1;3;1;2
18:08:13;3;18;3;17
18:08:14;2;10;2;11
18:08:15;1;8;1;7
18:08:16;3;17;3;15
18:08:17;1;4;2;6
18:08:18;3;18;2;16
18:08:19;3;17;3;16
18:08:20;1;3;2;6
18:08:21;2;15;1;11
18:08:22;3;17;3;15
18:08:23;1;3;2;5
18:08:24;2;16;1;11
18:08:25;3;18;3;16
18:08:26;1;3;2;7
18:08:27;2;15;1;12
18:08:28;3;18;3;17
18:08:29;1;3;2;4
18:08:30;2;16;1;13
18:08:31;3;16;3;13
18:08:32;0;2;0;3
18:08:33;3;17;3;16
18:08:34;1;6;2;10
18:08:35;2;15;1;11
