ID,KBIn,PktIn,KBOut,PktOut,Data_original,Unix_time  
387,0,3,1,0,2022-04-26-3:28:6,1650968886000006
388,0,1,1,0,2022-04-26-3:28:7,1650968887000007
389,0,2,2,0,2022-04-26-3:28:8,1650968888000008
390,0,1,1,0,2022-04-26-3:28:9,1650968889000009
391,0,1,1,0,2022-04-26-3:28:10,165096889000001
392,0,4,3,0,2022-04-26-3:28:11,1650968891000011
393,0,1,1,0,2022-04-26-3:28:12,1650968892000012
394,0,1,1,0,2022-04-26-3:28:13,1650968893000013
395,0,1,1,0,2022-04-26-3:28:14,1650968894000014
396,0,1,1,0,2022-04-26-3:28:15,1650968895000015
397,1,4,5,1,2022-04-26-3:28:16,1650968896000016
398,0,3,1,0,2022-04-26-3:28:17,1650968897000017
399,0,4,1,0,2022-04-26-3:28:18,1650968898000018
400,0,4,1,0,2022-04-26-3:28:19,1650968899000019
401,0,4,1,0,2022-04-26-3:28:20,165096890000002
402,0,3,1,0,2022-04-26-3:28:21,1650968901000021
403,0,4,1,0,2022-04-26-3:28:22,1650968902000022
404,0,4,1,0,2022-04-26-3:28:23,1650968903000023
405,0,4,1,0,2022-04-26-3:28:24,1650968904000024
406,0,4,1,0,2022-04-26-3:28:25,1650968905000025
407,0,4,3,0,2022-04-26-3:28:26,1650968906000026
408,0,1,1,0,2022-04-26-3:28:27,1650968907000027
409,0,1,1,0,2022-04-26-3:28:28,1650968908000028
410,0,2,1,0,2022-04-26-3:28:29,1650968909000029
411,0,1,1,0,2022-04-26-3:28:30,165096891000003
412,0,1,1,0,2022-04-26-3:28:31,1650968911000031
413,0,2,1,0,2022-04-26-3:28:32,1650968912000032
414,0,1,1,0,2022-04-26-3:28:33,1650968913000033
415,0,1,1,0,2022-04-26-3:28:34,1650968914000034
416,0,2,1,0,2022-04-26-3:28:35,1650968915000035
417,0,3,3,0,2022-04-26-3:28:36,1650968916000036
418,0,4,1,0,2022-04-26-3:28:37,1650968917000037
419,0,5,2,0,2022-04-26-3:28:38,1650968918000038
420,0,5,1,0,2022-04-26-3:28:39,1650968919000039
421,0,5,1,0,2022-04-26-3:28:40,165096892000004
422,2,8,5,1,2022-04-26-3:28:41,1650968921000041
423,0,4,2,0,2022-04-26-3:28:42,1650968922000042
424,0,3,1,0,2022-04-26-3:28:43,1650968923000043
425,0,4,1,0,2022-04-26-3:28:44,1650968924000044
426,0,5,1,0,2022-04-26-3:28:45,1650968925000045
427,0,3,1,0,2022-04-26-3:28:46,1650968926000046
428,0,2,1,0,2022-04-26-3:28:47,1650968927000047
